school_name,Type,Grades,Location in Hamilton,year,enrolment,capacity,utilization_rate,portables,Site Acres,Building Gross (Ft2),gym,gym with stage,Number of gyms,Computer lab,Childcare Centre on site,auditorium,rec_centre,pool,Library,Cafeteria , Document 
Glendale,Secondary,(9-12),North,2011,952,1122,0.85,2,18.62,"138,036",Yes,No,3,Yes,No,Yes,No,No,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-Glendale.pdf"
Orchard Park,Secondary,(9-12),North,2011,1173,1290,0.91,0,14.48,"184,685",Yes,No,3,Yes,No,No,Yes,Yes,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-OrchardPark.pdf"
Parkview,Secondary,(9-12),North,2011,281,534,0.53,0,3.68,"70,370",Yes,No,2,Yes,No,No,No,No,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-Parkview.pdf"
Sir John A. Macdonald,Secondary,(9-12),North,2011,1147,1569,0.73,0,8.02,"211,960",Yes,No,3,Yes,No,Yes,No,No,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-SirJohnAMacdonald.pdf"
Sir Winston Churchill,Secondary,(9-12),North,2011,1242,1089,1.14,2,9.84,"174,475",Yes,No,2,Yes,No,Yes,Yes,Yes,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-SirWinstonChurchill.pdf"
Barton,Secondary,(9-12),South,2011,891,1092,0.82,1,14.95,"138,036",Yes,No,3,Yes,No,Yes,No,No,Yes,Yes,"South-SIP.pdf, Site-Info-Sheet-Barton.pdf"
Hill Park,Secondary,(9-12),South,2011,903,1215,0.74,1,13.04,"159,097",Yes,No,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"South-SIP.pdf, Site-Info-Sheet-HillPark.pdf"
Mountain View,Secondary,(9-12),South,2011,191,525,0.36,0,7.57,"73,023",Yes,Yes,1,Yes,No,No,No,No,Yes,Yes,"South-SIP.pdf, Site-Info-Sheet-Mountain.pdf"
Sherwood,Secondary,(9-12),South,2011,1255,1308,0.96,0,13.05,"180,996",Yes,No,2,Yes,No,Yes,No,No,Yes,Yes,"South-SIP.pdf, Site-Info-Sheet-Sherwood.pdf"
Sir Allan MacNab,Secondary,(9-12),South,2011,888,1413,0.63,0,30.31,"193,200",Yes,No,3,Yes,No,Yes,Yes,Yes,Yes,Yes,South-SIP.pdfm Site-Info-Sheet-SirAllanMacNab.pdf
Ancaster High,Secondary,(9-12),West,2011,988,1356,0.73,0,42.97,"175,700",Yes,No,4,Yes,No,Yes,Yes,Yes,Yes,Yes,"West-SIP1.pdf, Site-Info-Sheet-AncasterHigh.pdf"
Highland,Secondary,(9-12),West,2011,771,924,0.83,0,17.83,"137,827",Yes,Yes,2,Yes,No,No,No,No,Yes,Yes,"West-SIP1.pdf, Site-Info-Sheet-Highland.pdf"
Parkside,Secondary,(9-12),West,2011,611,777,0.79,2,4.09,"94,823",Yes,Yes,2,Yes,No,No,No,No,Yes,Yes,"West-SIP1.pdf, Site-Info-Sheet-Parkside.pdf"
Westdale,Secondary,(9-12),West,2011,1648,1521,1.08,0,14.81,"239,424",Yes,No,3,Yes,No,Yes,No,No,Yes,Yes,"West-SIP1.pdf, Site-Info-Sheet-Westdale.pdf"
